mes,arquivo_local,arquivo_fonte,url,sha256,bytes,data_download
2014-11,dados/bruto/pdf/2014-11.pdf,3_2014_11_2.pdf,https://www.fenabrave.org.br/portal/files/3_2014_11_2.pdf,347a06fc8f1eb47da34ef1e14ae16a4f7bf3068ccc7c4f9f6334cc1e575e07ff,4699894,2026-09-12T00:51:59+00:00
2014-12,dados/bruto/pdf/2014-12.pdf,4_2014_12_2.pdf,https://www.fenabrave.org.br/portal/files/4_2014_12_2.pdf,f30d8ecc98a83d20fb1c7e92f8566450e14cf3551b0b8de7ce6b4fd011d93d4a,4678237,2026-09-12T00:52:09+00:00
2015-01,dados/bruto/pdf/2015-01.pdf,6_2015_01_2.pdf,https://www.fenabrave.org.br/portal/files/6_2015_01_2.pdf,4d1a0c7d28917feea20ed4a78fb8059fee5ac2c67f6bb925eff6c5684b5c1679,4628008,2026-09-12T00:52:16+00:00
2015-02,dados/bruto/pdf/2015-02.pdf,5_2015_02_2.pdf,https://www.fenabrave.org.br/portal/files/5_2015_02_2.pdf,13c6eee7934ee4c9988d9717e3d5a5d81a1dd78c0eeb728ef0b7cc9f2d92ebe0,4636503,2026-09-12T00:52:24+00:00
2015-03,dados/bruto/pdf/2015-03.pdf,4_2015_03_2.pdf,https://www.fenabrave.org.br/portal/files/4_2015_03_2.pdf,dda9e12cbb42364afe45a258f1afaf2d81a2ab03369486de615a164cf6b4aa9c,4668265,2026-09-12T00:52:32+00:00
2015-04,dados/bruto/pdf/2015-04.pdf,4_2015_04_2.pdf,https://www.fenabrave.org.br/portal/files/4_2015_04_2.pdf,e50ee22b69387c28c9e83fca09434e1c82a2d4957921baabd26ac1db0229e017,4651584,2026-09-12T00:52:40+00:00
2015-05,dados/bruto/pdf/2015-05.pdf,2015_05_2.pdf,https://www.fenabrave.org.br/portal/files/2015_05_2.pdf,70ecf1981232532838103d5c042dceb1039c8a88f1e88c61b97ebf06321982c3,1778048,2026-09-12T00:52:44+00:00
2015-06,dados/bruto/pdf/2015-06.pdf,2_2015_06_2.pdf,https://www.fenabrave.org.br/portal/files/2_2015_06_2.pdf,4866f98ca4715aae3bff3a18920d8be3293f1b9e8e7adbb10a8bd1aacdfd01ae,1502692,2026-09-12T00:52:49+00:00
2015-07,dados/bruto/pdf/2015-07.pdf,2015_07_2.pdf,https://www.fenabrave.org.br/portal/files/2015_07_2.pdf,0a8ceeca94ffe986cb94ab0e949b1518eecd8c6e37767cfcedb9506a74bdc47b,1492562,2026-09-12T00:52:54+00:00
2015-08,dados/bruto/pdf/2015-08.pdf,2015_08_2.pdf,https://www.fenabrave.org.br/portal/files/2015_08_2.pdf,3014ef499077eba7043df160269b56d92f7eb12bc4c948543150fa70befaf119,4616240,2026-09-12T00:53:01+00:00
2015-09,dados/bruto/pdf/2015-09.pdf,2015_09_2.pdf,https://www.fenabrave.org.br/portal/files/2015_09_2.pdf,44f2cbbd0ee6d385b4cf380c4578dcbdd509868d5e7d181741be04ba2f0fa2f0,4639110,2026-09-12T00:53:12+00:00
2015-10,dados/bruto/pdf/2015-10.pdf,2015_10_2.pdf,https://www.fenabrave.org.br/portal/files/2015_10_2.pdf,cf40a6747b8bfe3b503429400930a8a12a6203f15d399397d97d4b2282ec5cda,1441029,2026-09-12T00:53:16+00:00
2015-11,dados/bruto/pdf/2015-11.pdf,2015_11_2.pdf,https://www.fenabrave.org.br/portal/files/2015_11_2.pdf,46047583393fd1a4d8adda51cb56e789c62ef7f51c56c69eb57e2770081a0852,1334224,2026-09-12T00:53:20+00:00
2015-12,dados/bruto/pdf/2015-12.pdf,2_2015_12_2.pdf,https://www.fenabrave.org.br/portal/files/2_2015_12_2.pdf,e01ba1cee2ac835f050ffe9841f8993b208bb41b5b9ab2516cf5691ba087fbd9,1329708,2026-09-12T00:53:25+00:00
2016-01,dados/bruto/pdf/2016-01.pdf,2016_01_2.pdf,https://www.fenabrave.org.br/portal/files/2016_01_2.pdf,3fcc8ab8669cb5874626e870953081ffc7257dd1c686cee0b019b85309fb90f3,1284605,2026-09-12T00:53:29+00:00
2016-02,dados/bruto/pdf/2016-02.pdf,2016_02_2.pdf,https://www.fenabrave.org.br/portal/files/2016_02_2.pdf,f1d4cdd04065bb65bfb49f5460cb82f788eed2474326a99ca50c95c9e00c6236,1255556,2026-09-12T00:53:33+00:00
2016-03,dados/bruto/pdf/2016-03.pdf,2016_03_2.pdf,https://www.fenabrave.org.br/portal/files/2016_03_2.pdf,713804d04163b48c19c6da2cb494ef2e39460f22f2aaad46465ab9d3a4eedc0b,1347182,2026-09-12T00:53:37+00:00
2016-04,dados/bruto/pdf/2016-04.pdf,2016_04_2.pdf,https://www.fenabrave.org.br/portal/files/2016_04_2.pdf,c14c9022e8678bb54430d9cfeb806ec0e0f5555c367a28c275ffc0cdbc0f7ed3,1343201,2026-09-12T00:53:42+00:00
2016-05,dados/bruto/pdf/2016-05.pdf,2016_05_2.pdf,https://www.fenabrave.org.br/portal/files/2016_05_2.pdf,3ed19ca14aa0e9dcdf7c8cb1db96ae25f06e2e4d635a0d4f76e0bf29f4bbb9a4,1357250,2026-09-12T00:53:47+00:00
2016-06,dados/bruto/pdf/2016-06.pdf,2016_06_2.pdf,https://www.fenabrave.org.br/portal/files/2016_06_2.pdf,8c51405068aee903c88b3833d02b71e77e7e83c557dacfe7f55f82e19a356415,1348570,2026-09-12T00:53:51+00:00
2016-07,dados/bruto/pdf/2016-07.pdf,2016_07_2.pdf,https://www.fenabrave.org.br/portal/files/2016_07_2.pdf,3b4817db4b1283b3377162dcc2c8232195e5558b543fb7009fc4eb27e1713b2c,1350380,2026-09-12T00:53:55+00:00
