mes,arquivo_fonte,url,descricao_fonte,data_consulta
2018-12,2018_12_2.pdf,https://www.fenabrave.org.br/portal/files/2018_12_2.pdf,http://online.fliphtml5.com/ordey/fuir/index.html,2026-09-12T00:50:14+00:00
2019-01,2019_01_2.pdf,https://www.fenabrave.org.br/portal/files/2019_01_2.pdf,http://online.fliphtml5.com/ordey/qmhk/index.html,2026-09-12T00:50:16+00:00
2019-02,2019_02_2.pdf,https://www.fenabrave.org.br/portal/files/2019_02_2.pdf,http://online.fliphtml5.com/ordey/druy/index.html,2026-09-12T00:50:16+00:00
2019-03,2019_03_2.pdf,https://www.fenabrave.org.br/portal/files/2019_03_2.pdf,http://online.fliphtml5.com/ordey/ysbx/index.html,2026-09-12T00:50:16+00:00
2019-04,2019_04_2.pdf,https://www.fenabrave.org.br/portal/files/2019_04_2.pdf,http://online.fliphtml5.com/ordey/jpxd/index.html,2026-09-12T00:50:16+00:00
2019-05,2019_05_2.pdf,https://www.fenabrave.org.br/portal/files/2019_05_2.pdf,http://online.fliphtml5.com/ordey/jwyt/index.html,2026-09-12T00:50:16+00:00
2019-06,2_2019_06_2.pdf,https://www.fenabrave.org.br/portal/files/2_2019_06_2.pdf,,2026-09-12T00:50:16+00:00
2019-07,2019_07_2.pdf,https://www.fenabrave.org.br/portal/files/2019_07_2.pdf,http://online.fliphtml5.com/ordey/gozm/index.html,2026-09-12T00:50:16+00:00
2019-08,2019_08_2.pdf,https://www.fenabrave.org.br/portal/files/2019_08_2.pdf,http://online.fliphtml5.com/ordey/xagw/index.html,2026-09-12T00:50:16+00:00
2019-09,2019_09_2.pdf,https://www.fenabrave.org.br/portal/files/2019_09_2.pdf,http://online.fliphtml5.com/ordey/owha/index.html,2026-09-12T00:50:16+00:00
2019-10,2019_10_2.pdf,https://www.fenabrave.org.br/portal/files/2019_10_2.pdf,https://online.fliphtml5.com/ordey/zxua/,2026-09-12T00:50:16+00:00
2019-11,2019_11_01.pdf,https://www.fenabrave.org.br/portal/files/2019_11_01.pdf,https://online.fliphtml5.com/ordey/qdoi/,2026-09-12T00:50:16+00:00
2019-12,2019_12_2.pdf,https://www.fenabrave.org.br/portal/files/2019_12_2.pdf,https://online.fliphtml5.com/ordey/nyhj/,2026-09-12T00:50:16+00:00
2020-01,2020_01_2.pdf,https://www.fenabrave.org.br/portal/files/2020_01_2.pdf,http://online.fliphtml5.com/ordey/ynai/,2026-09-12T00:50:18+00:00
2020-02,2020_02_2.pdf,https://www.fenabrave.org.br/portal/files/2020_02_2.pdf,http://online.fliphtml5.com/ordey/lgoi/,2026-09-12T00:50:18+00:00
2020-03,2020_03_2.pdf,https://www.fenabrave.org.br/portal/files/2020_03_2.pdf,http://online.fliphtml5.com/ordey/joes/,2026-09-12T00:50:18+00:00
2020-04,2020_04_2.pdf,https://www.fenabrave.org.br/portal/files/2020_04_2.pdf,http://online.fliphtml5.com/ordey/pxgh/,2026-09-12T00:50:18+00:00
2020-05,2020_05_2.pdf,https://www.fenabrave.org.br/portal/files/2020_05_2.pdf,https://online.fliphtml5.com/ordey/hbwf/,2026-09-12T00:50:18+00:00
2020-06,2020_06_2.pdf,https://www.fenabrave.org.br/portal/files/2020_06_2.pdf,https://online.fliphtml5.com/ordey/gmyy/,2026-09-12T00:50:18+00:00
2020-07,2020_07_2.pdf,https://www.fenabrave.org.br/portal/files/2020_07_2.pdf,https://online.fliphtml5.com/ordey/oddl/,2026-09-12T00:50:18+00:00
2020-08,2020_08_2.pdf,https://www.fenabrave.org.br/portal/files/2020_08_2.pdf,https://online.fliphtml5.com/ordey/cfav/,2026-09-12T00:50:18+00:00
2020-09,2020_09_2.pdf,https://www.fenabrave.org.br/portal/files/2020_09_2.pdf,https://online.fliphtml5.com/ordey/xrjs/,2026-09-12T00:50:18+00:00
2020-10,2020_10_2.pdf,https://www.fenabrave.org.br/portal/files/2020_10_2.pdf,https://online.fliphtml5.com/ordey/jnvu/,2026-09-12T00:50:18+00:00
2020-11,2020_11_2.pdf,https://www.fenabrave.org.br/portal/files/2020_11_2.pdf,https://online.fliphtml5.com/ordey/ykhb/,2026-09-12T00:50:18+00:00
2020-12,2020_12_2.pdf,https://www.fenabrave.org.br/portal/files/2020_12_2.pdf,https://online.fliphtml5.com/ordey/vybi/,2026-09-12T00:50:18+00:00
2021-01,2021_01_2.pdf,https://www.fenabrave.org.br/portal/files/2021_01_2.pdf,https://online.fliphtml5.com/ordey/ajek/,2026-09-12T00:50:21+00:00
2021-02,2021_02_2.pdf,https://www.fenabrave.org.br/portal/files/2021_02_2.pdf,https://online.fliphtml5.com/ordey/mckb/,2026-09-12T00:50:21+00:00
2021-03,2021_03_2.pdf,https://www.fenabrave.org.br/portal/files/2021_03_2.pdf,https://online.fliphtml5.com/ordey/unvy/,2026-09-12T00:50:21+00:00
2021-04,2021_04_2.pdf,https://www.fenabrave.org.br/portal/files/2021_04_2.pdf,https://online.fliphtml5.com/ordey/ohwn/,2026-09-12T00:50:21+00:00
2021-05,2021_05_2.pdf,https://www.fenabrave.org.br/portal/files/2021_05_2.pdf,https://online.fliphtml5.com/ordey/vhik/,2026-09-12T00:50:21+00:00
2021-06,2021_06_2.pdf,https://www.fenabrave.org.br/portal/files/2021_06_2.pdf,https://online.fliphtml5.com/ordey/lvaw/,2026-09-12T00:50:21+00:00
