mes,segmento,nome_completo_fonte,valor_ranking,valor_sub_segmento,diferenca,arquivo_origem
2006-08,comerciais_leves,VW/SAVEIRO,1661,1617,44,2006-08.pdf
2006-08,comerciais_leves,FIAT/DOBLO,189,188,1,2006-08.pdf
2006-09,comerciais_leves,VW/KOMBI,1509,1508,1,2006-09.pdf
2006-09,comerciais_leves,VW/SAVEIRO,1332,1303,29,2006-09.pdf
2006-10,comerciais_leves,VW/SAVEIRO,1801,1771,30,2006-10.pdf
2006-10,comerciais_leves,VW/KOMBI,1745,1743,2,2006-10.pdf
2006-11,comerciais_leves,VW/KOMBI,1676,1675,1,2006-11.pdf
2006-11,comerciais_leves,VW/SAVEIRO,1493,1470,23,2006-11.pdf
2006-12,comerciais_leves,VW/SAVEIRO,1650,1637,13,2006-12.pdf
2006-12,comerciais_leves,FIAT/DOBLO,117,116,1,2006-12.pdf
2007-01,comerciais_leves,VW/SAVEIRO,1726,1708,18,2007-01.pdf
2007-02,comerciais_leves,VW/SAVEIRO,1468,1454,14,2007-02.pdf
2007-03,comerciais_leves,VW/SAVEIRO,1932,1922,10,2007-03.pdf
2007-04,comerciais_leves,VW/SAVEIRO,1876,1848,28,2007-04.pdf
2007-05,comerciais_leves,VW/SAVEIRO,2046,2025,21,2007-05.pdf
2007-06,comerciais_leves,VW/SAVEIRO,1880,1875,5,2007-06.pdf
2007-07,comerciais_leves,VW/SAVEIRO,2253,2252,1,2007-07.pdf
2007-07,comerciais_leves,FIAT/DOBLO,97,96,1,2007-07.pdf
2007-08,comerciais_leves,VW/SAVEIRO,2541,2540,1,2007-08.pdf
2007-09,comerciais_leves,VW/SAVEIRO,1957,1955,2,2007-09.pdf
2007-10,comerciais_leves,FIAT/STRADA,6123,6122,1,2007-10.pdf
2007-10,comerciais_leves,VW/SAVEIRO,2272,2269,3,2007-10.pdf
2007-10,comerciais_leves,VW/KOMBI,2229,2228,1,2007-10.pdf
2007-12,comerciais_leves,VW/SAVEIRO,1987,1980,7,2007-12.pdf
2008-01,comerciais_leves,FIAT/STRADA,5274,5273,1,2008-01.pdf
2008-02,comerciais_leves,VW/SAVEIRO,2118,2116,2,2008-02.pdf
2008-02,comerciais_leves,FIAT/DOBLO,142,141,1,2008-02.pdf
2008-03,comerciais_leves,VW/SAVEIRO,2457,2452,5,2008-03.pdf
2008-03,comerciais_leves,FIAT/DOBLO,129,127,2,2008-03.pdf
2008-04,comerciais_leves,VW/SAVEIRO,3312,3309,3,2008-04.pdf
2008-04,comerciais_leves,FIAT/DOBLO,116,114,2,2008-04.pdf
2008-05,comerciais_leves,FIAT/STRADA,5413,5411,2,2008-05.pdf
