marca,familia,mecanismo,variantes_painel,variantes_planilha,variantes_a_mais_na_planilha,nomes_painel,nomes_planilha,unidades_painel,unidades_planilha
FERRARI,F12TDF,ausente do painel,0,1,1,,F12TDF,0,3
MCLAREN,P1,ausente do painel,0,1,1,,P1,0,3
MCLAREN,SENNA,ausente do painel,0,1,1,,SENNA,0,3
ASTON MARTIN,DB9,ausente do painel,0,1,1,,DB9,0,2
ASTON MARTIN,VIRAGE,ausente do painel,0,1,1,,VIRAGE,0,2
KIA,SELTOS,ausente do painel,0,1,1,,SELTOS,0,2
LEXUS,LS,ausente do painel,0,1,1,,LS,0,2
LIFAN,X70,ausente do painel,0,1,1,,X70,0,2
M BENZ,EQA,ausente do painel,0,1,1,,EQA,0,2
M BENZ,EQB,ausente do painel,0,1,1,,EQB,0,2
M BENZ,EQC,ausente do painel,0,1,1,,EQC,0,2
MASERATI,MC20,ausente do painel,0,1,1,,MC20,0,2
ROLLS ROYCE,WRAITH,ausente do painel,0,1,1,,WRAITH,0,2
ASTON MARTIN,DB,ausente do painel,0,1,1,,DB 11,0,1
KIA,EV6,ausente do painel,0,1,1,,EV6,0,1
KIA,K900,ausente do painel,0,1,1,,K900,0,1
KIA,TELLURIDE,ausente do painel,0,1,1,,TELLURIDE,0,1
M BENZ,EQS,ausente do painel,0,1,1,,EQS,0,1
MCLAREN,540C,ausente do painel,0,1,1,,540C,0,1
MCLAREN,570GT,ausente do painel,0,1,1,,570GT,0,1
VOLVO,S80,ausente do painel,0,1,1,,S80,0,1
