mes,segmento,nome_completo_fonte,unidades_acumulado,acumulado_esperado,diferenca
2025-10,automoveis,BYD/SONG,30335,30340.0,-5.0
2019-11,comerciais_leves,TOYOTA/HILUX,36769,36774.0,-5.0
2026-06,automoveis,HYUNDAI/HB20,38930,38935.0,-5.0
2015-12,automoveis,HYUNDAI/HB20,110396,110401.0,-5.0
2026-05,automoveis,BYD/DOLPHIN MINI,29215,29220.0,-5.0
2022-03,automoveis,VW/VIRTUS,1347,1342.0,5.0
2021-10,comerciais_leves,GM/S10,29726,29731.0,-5.0
2022-11,comerciais_leves,FIAT/STRADA,103288,103293.0,-5.0
2023-12,comerciais_leves,VW/SAVEIRO,46595,46600.0,-5.0
2018-11,automoveis,FIAT/DOBLO,4853,4858.0,-5.0
2008-04,comerciais_leves,RENAULT/MASTER,1555,1560.0,-5.0
2023-08,automoveis,JEEP/COMMANDER,13834,13839.0,-5.0
2023-03,comerciais_leves,FORD/TRANSIT,824,819.0,5.0
2023-05,comerciais_leves,MITSUBISHI/L200,4264,4269.0,-5.0
2024-07,comerciais_leves,TOYOTA/HILUX,27044,27049.0,-5.0
2021-10,comerciais_leves,NISSAN/FRONTIER,9053,9057.0,-4.0
2021-07,automoveis,JEEP/COMPASS,39220,39224.0,-4.0
2021-06,comerciais_leves,FIAT/TORO,34089,34093.0,-4.0
2021-07,comerciais_leves,RENAULT/MASTER,4663,4667.0,-4.0
2021-12,automoveis,MITSUBISHI/PAJERO,2077,2081.0,-4.0
2024-12,automoveis,NISSAN/SENTRA,6014,6018.0,-4.0
2024-12,automoveis,HYUNDAI/CRETA,69116,69120.0,-4.0
2025-08,automoveis,BYD/SONG,23654,23658.0,-4.0
2018-03,automoveis,VW/GOL,16257,16261.0,-4.0
2021-04,automoveis,FIAT/ARGO,21616,21620.0,-4.0
2017-12,comerciais_leves,RENAULT/MASTER,6171,6175.0,-4.0
2019-11,automoveis,HYUNDAI/CRETA,50837,50841.0,-4.0
2018-08,comerciais_leves,RENAULT/MASTER,4718,4722.0,-4.0
2008-03,automoveis,PORSCHE/911,38,34.0,4.0
2008-03,comerciais_leves,M.BENZ/SPRINTER 313,789,793.0,-4.0
2018-05,comerciais_leves,FIAT/STRADA,27033,27037.0,-4.0
2019-08,comerciais_leves,VW/AMAROK,12734,12738.0,-4.0
2019-12,automoveis,VW/VIRTUS,46876,46880.0,-4.0
2020-05,automoveis,TOYOTA/COROLLA,14792,14796.0,-4.0
2020-12,automoveis,GM/ONIX PLUS,83392,83396.0,-4.0
2020-07,automoveis,GM/ONIX,69979,69983.0,-4.0
2020-06,comerciais_leves,MITSUBISHI/L200,3622,3626.0,-4.0
2018-02,comerciais_leves,FORD/RANGER,2335,2339.0,-4.0
2024-12,automoveis,BYD/SONG,27689,27693.0,-4.0
2022-03,automoveis,LAND ROVER/DISCOVERY,357,353.0,4.0
2015-10,comerciais_leves,VW/SAVEIRO,50472,50476.0,-4.0
2015-12,automoveis,FIAT/PALIO,122364,122368.0,-4.0
2022-03,automoveis,CAOA CHERY/ARRIZO 6,621,617.0,4.0
2025-02,automoveis,BYD/SONG,5859,5863.0,-4.0
2025-08,automoveis,BYD/DOLPHIN,8893,8897.0,-4.0
2025-09,automoveis,BYD/SONG,26896,26900.0,-4.0
2022-03,comerciais_leves,RAM/2500,357,353.0,4.0
2024-11,automoveis,BYD/DOLPHIN,14671,14675.0,-4.0
2022-03,automoveis,MITSUBISHI/Outlander,620,616.0,4.0
2016-04,comerciais_leves,FIAT/TORO,8178,8182.0,-4.0
2016-05,automoveis,CITROEN/AIRCROSS,2758,2754.0,4.0
2024-06,comerciais_leves,FIAT/STRADA,56592,56596.0,-4.0
2024-10,automoveis,HONDA/HR-V,41145,41149.0,-4.0
2022-03,automoveis,MITSUBISHI/ECLIPSE CROSS,421,417.0,4.0
2022-03,automoveis,PEUGEOT/2008,2473,2469.0,4.0
2016-04,comerciais_leves,CITROEN/JUMPER,390,386.0,4.0
2022-09,automoveis,HYUNDAI/CRETA,45764,45768.0,-4.0
2022-04,automoveis,TOYOTA/COROLLA,12835,12839.0,-4.0
2023-12,automoveis,GM/ONIX PLUS,74887,74891.0,-4.0
2023-08,comerciais_leves,FIAT/TORO,34053,34057.0,-4.0
2023-11,automoveis,TOYOTA/COROLLA CROSS,37681,37685.0,-4.0
2022-12,automoveis,FIAT/PULSE,50522,50518.0,4.0
2022-11,comerciais_leves,RENAULT/MASTER,9126,9122.0,4.0
2016-09,automoveis,AUDI/A4,279,275.0,4.0
2026-05,comerciais_leves,FIAT/STRADA,68730,68734.0,-4.0
2026-08,automoveis,BYD/DOLPHIN,31269,31273.0,-4.0
2026-08,automoveis,BYD/DOLPHIN MINI,51225,51229.0,-4.0
2026-06,comerciais_leves,TOYOTA/HILUX,23363,23367.0,-4.0
2026-07,automoveis,FIAT/FASTBACK,29750,29754.0,-4.0
2026-07,automoveis,BYD/DOLPHIN MINI,42930,42934.0,-4.0
2026-06,comerciais_leves,FIAT/STRADA,83029,83033.0,-4.0
2024-08,automoveis,PEUGEOT/208,14152,14155.0,-3.0
2023-12,automoveis,GM/TRACKER,66643,66646.0,-3.0
2019-12,automoveis,GM/ONIX PLUS,26852,26855.0,-3.0
2023-12,automoveis,VW/POLO,111242,111245.0,-3.0
2023-12,automoveis,TOYOTA/COROLLA,42923,42926.0,-3.0
2019-11,automoveis,TOYOTA/YARIS HB,33789,33792.0,-3.0
2019-10,automoveis,VW/VOYAGE,25990,25993.0,-3.0
2022-07,automoveis,JEEP/RENEGADE,29141,29144.0,-3.0
2019-10,automoveis,JEEP/COMPASS,49324,49327.0,-3.0
2017-12,automoveis,RENAULT/SANDERO,67344,67347.0,-3.0
2018-06,automoveis,JEEP/COMPASS,28193,28196.0,-3.0
2016-11,automoveis,GM/ONIX,134941,134944.0,-3.0
2017-12,automoveis,JEEP/RENEGADE,38330,38333.0,-3.0
2017-12,comerciais_leves,FIAT/TORO,50723,50726.0,-3.0
2022-09,automoveis,GM/ONIX,60582,60585.0,-3.0
2022-11,automoveis,VW/T CROSS,59161,59164.0,-3.0
2021-06,automoveis,VW/POLO,14250,14253.0,-3.0
2023-11,comerciais_leves,RENAULT/MASTER,9469,9466.0,3.0
2016-08,automoveis,FIAT/MOBI,13826,13829.0,-3.0
2026-06,automoveis,BYD/SONG,31524,31527.0,-3.0
2016-07,automoveis,JEEP/RENEGADE,30439,30442.0,-3.0
2026-06,automoveis,BYD/DOLPHIN MINI,35669,35672.0,-3.0
2016-07,automoveis,HONDA/HR-V,35217,35220.0,-3.0
2021-05,automoveis,JEEP/COMPASS,26509,26512.0,-3.0
2026-06,comerciais_leves,FIAT/TORO,25898,25901.0,-3.0
2019-08,automoveis,GM/ONIX,159367,159370.0,-3.0
2023-07,automoveis,JEEP/RENEGADE,27875,27878.0,-3.0
2019-08,automoveis,VW/POLO,45035,45038.0,-3.0
2023-06,automoveis,GM/TRACKER,28964,28967.0,-3.0
2023-06,automoveis,GM/ONIX PLUS,35726,35729.0,-3.0
2019-09,automoveis,GM/PRISMA,65415,65418.0,-3.0
2019-09,automoveis,VW/T CROSS,19113,19116.0,-3.0
2021-05,comerciais_leves,FIAT/TORO,28184,28187.0,-3.0
2020-11,automoveis,GM/ONIX PLUS,70477,70480.0,-3.0
2016-02,automoveis,HYUNDAI/HB20,16835,16838.0,-3.0
2016-04,automoveis,VW/GOL,19634,19637.0,-3.0
2024-06,comerciais_leves,FIAT/TORO,23206,23209.0,-3.0
2024-06,automoveis,FIAT/ARGO,39624,39627.0,-3.0
2020-11,comerciais_leves,RENAULT/MASTER,4946,4943.0,3.0
2024-05,automoveis,JEEP/COMMANDER,5489,5486.0,3.0
2020-05,automoveis,VW/POLO,17515,17518.0,-3.0
2025-08,automoveis,BYD/YUAN,4000,4003.0,-3.0
2025-07,automoveis,BYD/SONG,20647,20650.0,-3.0
2024-02,comerciais_leves,FIAT/STRADA,16587,16590.0,-3.0
2022-03,comerciais_leves,FORD/MAVERICK,70,67.0,3.0
2025-07,automoveis,BYD/DOLPHIN MINI,16221,16224.0,-3.0
2022-03,automoveis,VOLVO/XC60,502,499.0,3.0
2025-07,automoveis,BYD/DOLPHIN,7586,7589.0,-3.0
2025-07,comerciais_leves,FORD/RANGER,19074,19077.0,-3.0
2022-03,automoveis,M.BENZ/CLASSE C,393,390.0,3.0
2023-12,automoveis,FIAT/PALIO,7,10.0,-3.0
2023-12,automoveis,FIAT/UNO,37,40.0,-3.0
2020-06,automoveis,GM/ONIX,60267,60270.0,-3.0
2018-04,automoveis,HYUNDAI/HB20,33618,33621.0,-3.0
2023-12,automoveis,BYD/DOLPHIN,6806,6809.0,-3.0
2018-05,automoveis,HYUNDAI/HB20,42128,42131.0,-3.0
2024-09,automoveis,BYD/SONG,16860,16863.0,-3.0
2016-02,automoveis,HYUNDAI/HB20S,7281,7284.0,-3.0
2024-08,comerciais_leves,RENAULT/OROCH,8275,8278.0,-3.0
2020-07,comerciais_leves,MITSUBISHI/L200,4865,4868.0,-3.0
2025-09,automoveis,BYD/DOLPHIN MINI,22905,22908.0,-3.0
2020-09,automoveis,GM/ONIX,92293,92296.0,-3.0
2015-09,automoveis,GM/PRISMA,49830,49833.0,-3.0
2022-03,comerciais_leves,VW/SAVEIRO,1528,1525.0,3.0
2024-07,automoveis,FIAT/ARGO,48284,48287.0,-3.0
2020-11,automoveis,FORD/KA,59425,59428.0,-3.0
2024-08,comerciais_leves,TOYOTA/HILUX,31771,31774.0,-3.0
2019-03,automoveis,TOYOTA/COROLLA,11321,11324.0,-3.0
2018-11,automoveis,JEEP/COMPASS,55522,55525.0,-3.0
2016-10,automoveis,GM/CAMARO,357,354.0,3.0
2023-05,comerciais_leves,TOYOTA/HILUX,17793,17796.0,-3.0
2009-07,comerciais_leves,PEUGEOT/PARTNER,580,583.0,-3.0
2019-02,automoveis,FORD/KA,15653,15656.0,-3.0
2026-07,comerciais_leves,FIAT/STRADA,97938,97941.0,-3.0
2018-10,automoveis,JEEP/COMPASS,50517,50520.0,-3.0
2021-11,automoveis,GM/TRAILBLAZER,3032,3035.0,-3.0
2021-09,automoveis,GM/SPIN,10100,10103.0,-3.0
2016-08,comerciais_leves,TOYOTA/HILUX,22519,22522.0,-3.0
2021-09,automoveis,FIAT/ARGO,65415,65418.0,-3.0
2018-12,automoveis,LAND ROVER/DISCOVERY,3788,3785.0,3.0
2019-07,automoveis,GM/ONIX,136974,136977.0,-3.0
2025-12,automoveis,VW/NIVUS,48690,48693.0,-3.0
2018-09,automoveis,VW/GOL,52533,52536.0,-3.0
2018-12,automoveis,RENAULT/KWID,67320,67323.0,-3.0
2026-04,automoveis,BYD/KING,4662,4665.0,-3.0
2025-12,automoveis,MITSUBISHI/ECLIPSE CROSS,10032,10029.0,3.0
2026-08,comerciais_leves,FIAT/STRADA,111733,111736.0,-3.0
2021-12,comerciais_leves,GM/S10,35045,35048.0,-3.0
2021-12,comerciais_leves,FIAT/TORO,70890,70893.0,-3.0
2021-10,automoveis,VW/VIRTUS,19056,19059.0,-3.0
2018-09,automoveis,HYUNDAI/HB20S,23963,23966.0,-3.0
2015-12,automoveis,HONDA/CITY,26405,26408.0,-3.0
2019-05,automoveis,RENAULT/KWID,32639,32642.0,-3.0
2026-05,automoveis,BYD/KING,6555,6558.0,-3.0
2021-07,automoveis,GM/ONIX,42894,42897.0,-3.0
2015-11,automoveis,HONDA/HR-V,44618,44621.0,-3.0
2018-08,automoveis,JEEP/RENEGADE,29925,29928.0,-3.0
2025-10,automoveis,VW/NIVUS,41356,41359.0,-3.0
