mes,segmento,nome_completo_fonte,unidades_mes_anterior,mes_anterior_observado,diferenca
2018-12,automoveis,LAND ROVER/DISCOVERY,204,201.0,3.0
2025-01,automoveis,VW/T CROSS,9984,9987.0,-3.0
2008-04,comerciais_leves,RENAULT/MASTER,378,381.0,-3.0
2022-03,comerciais_leves,VW/SAVEIRO,250,247.0,3.0
2026-07,automoveis,BYD/SONG,6629,6632.0,-3.0
2022-03,automoveis,VOLVO/XC60,201,198.0,3.0
2026-01,automoveis,BYD/DOLPHIN,2344,2347.0,-3.0
2016-02,automoveis,HYUNDAI/HB20S,3589,3592.0,-3.0
2016-02,automoveis,HYUNDAI/HB20,8985,8988.0,-3.0
2019-08,comerciais_leves,FIAT/STRADA,7024,7021.0,3.0
2024-08,comerciais_leves,TOYOTA/HILUX,4757,4760.0,-3.0
2022-01,automoveis,TOYOTA/COROLLA,4919,4922.0,-3.0
2019-11,automoveis,TOYOTA/YARIS HB,3189,3192.0,-3.0
2024-05,automoveis,JEEP/COMMANDER,1096,1093.0,3.0
2025-12,automoveis,MITSUBISHI/ECLIPSE CROSS,902,899.0,3.0
2003-04,automoveis,AUDI/A6,1,4.0,-3.0
2020-09,automoveis,GM/ONIX,10606,10609.0,-3.0
2017-08,comerciais_leves,VW/SAVEIRO,3807,3810.0,-3.0
2024-06,comerciais_leves,FIAT/TORO,4312,4315.0,-3.0
2019-12,comerciais_leves,VW/SAVEIRO,3437,3439.0,-2.0
2017-07,automoveis,HONDA/CIVIC,2258,2260.0,-2.0
2025-01,automoveis,VW/POLO,13468,13470.0,-2.0
2024-12,automoveis,BYD/DOLPHIN MINI,2292,2294.0,-2.0
2022-05,comerciais_leves,FIAT/TORO,5105,5107.0,-2.0
2017-06,automoveis,VW/UP,3530,3532.0,-2.0
2017-06,automoveis,M.BENZ/GLC,65,63.0,2.0
2020-01,automoveis,TOYOTA/COROLLA,5218,5220.0,-2.0
2024-12,comerciais_leves,VW/SAVEIRO,6074,6076.0,-2.0
2022-05,automoveis,TOYOTA/COROLLA CROSS,3859,3861.0,-2.0
2017-06,automoveis,GM/ONIX,15005,15007.0,-2.0
2022-06,automoveis,FIAT/PULSE,4948,4950.0,-2.0
2025-01,comerciais_leves,FIAT/STRADA,16233,16235.0,-2.0
2018-03,automoveis,VW/POLO,4940,4942.0,-2.0
2019-06,automoveis,GM/ONIX,22277,22279.0,-2.0
2022-12,automoveis,GM/TRAILBLAZER,335,337.0,-2.0
2022-12,automoveis,JEEP/COMPASS,6407,6409.0,-2.0
2024-03,automoveis,NISSAN/SENTRA,354,356.0,-2.0
2023-01,automoveis,FIAT/CRONOS,4596,4598.0,-2.0
2018-05,automoveis,VW/GOL,5447,5449.0,-2.0
2024-02,comerciais_leves,FORD/RANGER,1774,1776.0,-2.0
2024-01,comerciais_leves,TOYOTA/HILUX,4342,4344.0,-2.0
2024-01,comerciais_leves,FIAT/STRADA,10573,10571.0,2.0
2023-02,automoveis,M.BENZ/CLASSE A,2,0.0,2.0
2018-06,automoveis,JEEP/COMPASS,5557,5559.0,-2.0
2023-12,comerciais_leves,FIAT/STRADA,11515,11517.0,-2.0
2023-12,automoveis,VW/T CROSS,6523,6525.0,-2.0
2023-12,automoveis,PORSCHE/911,106,108.0,-2.0
2017-04,automoveis,JEEP/COMPASS,3983,3985.0,-2.0
2018-12,automoveis,VW/POLO,5642,5644.0,-2.0
2018-12,automoveis,RENAULT/KWID,7090,7092.0,-2.0
2018-12,automoveis,NISSAN/KICKS,4038,4040.0,-2.0
2023-07,automoveis,FIAT/FASTBACK,3382,3384.0,-2.0
2023-07,automoveis,JEEP/RENEGADE,4082,4084.0,-2.0
2023-06,automoveis,CAOA CHERY/TIGGO 5X,646,644.0,2.0
2018-11,automoveis,RENAULT/SANDERO,6058,6060.0,-2.0
2023-12,automoveis,GM/TRACKER,5897,5899.0,-2.0
2019-01,automoveis,GM/ONIX,19640,19642.0,-2.0
2019-01,automoveis,NISSAN/KICKS,4326,4328.0,-2.0
2019-01,comerciais_leves,MITSUBISHI/L200,896,898.0,-2.0
2019-02,automoveis,HONDA/FIT,2099,2101.0,-2.0
2019-02,automoveis,NISSAN/KICKS,3484,3486.0,-2.0
2018-09,automoveis,VW/GOL,6626,6628.0,-2.0
2019-03,automoveis,GM/ONIX,18390,18392.0,-2.0
2023-12,automoveis,FORD/MUSTANG,22,24.0,-2.0
2023-08,automoveis,FIAT/CRONOS,5034,5036.0,-2.0
2019-12,automoveis,TOYOTA/YARIS SEDAN,2586,2588.0,-2.0
2017-07,automoveis,RENAULT/CAPTUR,1010,1008.0,2.0
2017-08,automoveis,FIAT/ARGO,3233,3235.0,-2.0
2019-12,automoveis,HYUNDAI/CRETA,4608,4610.0,-2.0
2019-12,automoveis,GM/ONIX,19186,19184.0,2.0
2017-08,comerciais_leves,FORD/RANGER,1559,1561.0,-2.0
2017-08,comerciais_leves,GM/MONTANA,1422,1424.0,-2.0
2017-08,comerciais_leves,MITSUBISHI/L200,827,829.0,-2.0
2024-10,comerciais_leves,VW/AMAROK,997,999.0,-2.0
2019-11,automoveis,JEEP/RENEGADE,6678,6680.0,-2.0
2017-09,comerciais_leves,VW/SAVEIRO,4083,4085.0,-2.0
2024-10,automoveis,BYD/SONG,2170,2172.0,-2.0
2022-07,automoveis,JEEP/COMPASS,6102,6104.0,-2.0
2024-09,automoveis,VW/T CROSS,7116,7118.0,-2.0
2022-07,automoveis,VW/T CROSS,6307,6309.0,-2.0
2019-07,automoveis,HYUNDAI/CRETA,4636,4638.0,-2.0
2024-06,automoveis,FIAT/ARGO,5550,5552.0,-2.0
2018-02,automoveis,KIA/PICANTO,13,11.0,2.0
2018-01,comerciais_leves,MITSUBISHI/L200,836,834.0,2.0
2019-08,automoveis,M.BENZ/CLASSE C,247,245.0,2.0
2019-08,automoveis,RENAULT/SANDERO,2952,2954.0,-2.0
2022-09,automoveis,HYUNDAI/CRETA,5804,5806.0,-2.0
2019-08,automoveis,VW/TIGUAN,1242,1244.0,-2.0
2019-10,automoveis,JEEP/COMPASS,4552,4554.0,-2.0
