marca_chave,modelo_chave,nome_planilha,unidades,meses,primeiro_mes
KIA,STINGER,Kia Stinger,37.0,19,2018-01
HAFEI,TOWNER PASSAGEIRO,Hafei Towner Passageiro,36.0,12,2014-01
,LAMBORGHINI HURACAN,Lamborghini Huracan,35.0,26,2014-10
HYUNDAI,EQUUS,Hyundai Equus,33.0,7,2014-01
M BENZ,GLC COUPE,Mercedes-Benz GLC Coupé,32.0,1,2023-02
TOYOTA,COROLLA HATCH,Toyota Corolla Hatch,32.0,2,2023-07
AUDI,RS 4 AVANT,Audi RS 4 Avant,32.0,6,2020-12
MINI,COUPE,Mini Coupé,32.0,5,2014-01
MASERATI,GHIBLI,Maserati Ghibli,31.0,25,2014-04
HYUNDAI,HD 80,Hyundai HD 80,31.0,2,2019-06
HYUNDAI,GENESIS,Hyundai Genesis,30.0,14,2014-01
JAC,IEV750V,JAC iEV750V,30.0,10,2022-06
CAOA CHERY,CIELO HATCH,CAOA Chery Cielo hatch,29.0,10,2014-01
MINI,ONE,Mini One,27.0,6,2016-01
,BENTLEY CONTINENTAL GT,Bentley Continental GT,25.0,19,2014-04
SSANGYONG,TIVOLI,SsangYong Tivoli,24.0,9,2018-04
M BENZ,GLE COUPE,Mercedes-Benz GLE Coupé,24.0,1,2023-02
NISSAN,TIIDA,Nissan Tiida,23.0,9,2014-01
FERRARI,PORTOFINO,Ferrari Portofino,23.0,16,2018-10
FERRARI,488 SPIDER,Ferrari 488 Spider,22.0,18,2016-09
ASTON MARTIN,VANTAGE,Aston Martin Vantage,22.0,15,2021-07
BMW,SERIE 8 COUPE,BMW Série 8 Coupé,21.0,10,2019-06
HYUNDAI,SONATA,Hyundai Sonata,19.0,12,2014-01
FERRARI,F8 TRIBUTO,Ferrari F8 Tributo,19.0,14,2020-06
MCLAREN,720S,McLaren 720S,18.0,14,2018-05
FERRARI,488 GTB,Ferrari 488 GTB,18.0,15,2015-12
KIA,QUORIS,Kia Quoris,17.0,11,2015-02
FERRARI,CALIFORNIA,Ferrari California,17.0,13,2014-01
LIFAN,620,Lifan 620,17.0,6,2014-01
MCLAREN,756LT,McLaren 756LT,15.0,10,2021-03
,CHANGAN STAR UTILITY,Changan Star Utility,14.0,2,2014-06
M BENZ,SL,Mercedes-Benz SL,14.0,10,2014-05
JAGUAR,XK,Jaguar XK,14.0,8,2014-05
,LAMBORGHINI AVENTADOR,Lamborghini Aventador,13.0,12,2015-03
M BENZ,CLASSE G,Mercedes-Benz Classe G,12.0,6,2014-01
ASTON MARTIN,DBX,Aston Martin DBX,11.0,9,2022-04
M BENZ,SLS AMG,Mercedes-Benz SLS AMG,11.0,8,2014-01
M BENZ,CLASSE A SEDAN,Mercedes-Benz Classe A Sedan,11.0,1,2022-06
MASERATI,GRAN TURISMO,Maserati Gran Turismo,11.0,10,2014-01
CAOA CHERY,CIELO SEDAN,CAOA Chery Cielo Sedan,11.0,6,2014-01
FERRARI,F12BERLINETTA,Ferrari F12berlinetta,10.0,10,2014-04
SSANGYONG,XLV,SsangYong XLV,10.0,7,2018-04
PEUGEOT,E 2008,Peugeot e-2008,9.0,1,2023-02
MASERATI,QUATTROPORTE,Maserati Quattroporte,9.0,8,2014-02
FERRARI,ROMA,Ferrari Roma,9.0,5,2021-05
ROLLS ROYCE,GHOST,Rolls-Royce Ghost,9.0,9,2014-01
ASTON MARTIN,V8 VANTAGE,Aston Martin V8 Vantage,8.0,8,2014-01
,LAMBORGHINI GALLARDO,Lamborghini Gallardo,8.0,4,2014-02
,TAC STARK,TAC Stark,8.0,7,2018-05
PORSCHE,918 SPYDER,Porsche 918 Spyder,8.0,7,2020-01
FERRARI,812 SUPERFAST,Ferrari 812 Superfast,8.0,6,2018-04
FERRARI,812 GTS,Ferrari 812 GTS,8.0,6,2020-10
NISSAN,X TRAIL,Nissan X-Trail,8.0,1,2019-07
ROLLS ROYCE,PHANTOM,Rolls-Royce Phantom,8.0,4,2014-07
,LAMBORGHINI HURACAN SPYDER,Lamborghini Huracan Spyder,7.0,6,2019-04
AUDI,E TRON SPORTBACK,Audi e-tron Sportback,7.0,1,2023-02
FERRARI,488 PISTA SPIDER,Ferrari 488 Pista Spider,7.0,5,2020-01
HYUNDAI,VERACRUZ,Hyundai Veracruz,7.0,6,2014-01
,BENTLEY FLYING SPUR,Bentley Flying Spur,7.0,6,2014-05
FERRARI,SF90 STRADALE,Ferrari SF90 Stradale,7.0,5,2021-03
JAC,IEV350T,JAC IEV350T,6.0,2,2022-06
MCLAREN,GT,McLaren GT,5.0,4,2021-03
FERRARI,S90 SPIDER,Ferrari S90 Spider,5.0,3,2022-02
FERRARI,GTC4LUSSO T,Ferrari GTC4Lusso T,5.0,5,2018-01
ASTON MARTIN,DBS,Aston Martin DBS,5.0,4,2022-08
KIA,CARENS,Kia Carens,5.0,4,2014-02
FERRARI,FF,Ferrari FF,4.0,4,2014-12
ASTON MARTIN,RAPIDE,Aston Martin Rapide,4.0,4,2014-07
MASERATI,GRANCABRIO,Maserati GranCabrio,4.0,4,2015-08
ROLLS ROYCE,CULLINAN,Rolls-Royce Cullinan,4.0,4,2019-04
,EXEED LX,Exeed LX,4.0,2,2021-05
AUDI,Q8 SPORTBACK,Audi Q8 Sportback,3.0,1,2023-02
FERRARI,296 GTB,Ferrari 296 GTB,3.0,1,2023-02
MCLAREN,570S SPIDER,McLaren 570S Spider,3.0,2,2018-04
PEUGEOT,E 208,Peugeot e-208,3.0,1,2023-02
MCLAREN,P1,McLaren P1,3.0,3,2021-04
MCLAREN,SENNA,McLaren Senna,3.0,3,2022-05
,EXEED VX LANYUE,Exeed VX Lanyue,3.0,1,2021-06
TESLA,MODEL X,Tesla Model X,3.0,3,2018-05
FERRARI,F12TDF,Ferrari F12TDF,3.0,2,2016-09
ASTON MARTIN,DB9,Aston Martin DB9,2.0,2,2014-09
LEXUS,LS,Lexus LS,2.0,2,2015-04
AUDI,RS E TRON GT,Audi RS e-tron GT,2.0,1,2023-02
AUDI,RS Q8,Audi RS Q8,2.0,1,2023-02
ASTON MARTIN,VIRAGE,Aston Martin Virage,2.0,2,2014-04
ROLLS ROYCE,WRAITH,Rolls-Royce Wraith,2.0,2,2016-08
MASERATI,MC20,Maserati MC20,2.0,2,2022-03
AUDI,RS 5 SPORTBACK,Audi RS 5 Sportback,2.0,1,2023-02
MCLAREN,570S,McLaren 570S,2.0,2,2018-09
M BENZ,EQC,Mercedes-Benz EQC,2.0,2,2022-06
KIA,SELTOS,Kia Seltos,2.0,2,2020-11
BMW,SERIE 6 COUPE,BMW Série 6 Coupé,2.0,1,2015-12
